Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
TCPF0010;Tècniques digitals aplicades al disseny de moda. Retoc d'imatge I;30,;1;TÈXTIL, CONFECCIÓ I PELL;;;0,
INAK0110;Indústries de l'oli i greixos comestibles;600,;3;INDÚSTRIA ALIMENTÀRIA;UC0557_3;Programar i gestionar la producció a la indústria alimentària;50,
INAV0109;Fabricació de conserves vegetals;480,;2;INDÚSTRIA ALIMENTÀRIA;UC0293_2;Realitzar les operacions de dosificació, ompliment i tancament de conserves vegetals, sucs i plats cuinats, comprovant que es segueixen els procediments i normes que asseguren la qualitat requerida;60,
ADGN0210;Mediació d'assegurances i reassegurances privades i activitats auxiliars;730,;3;ADMINISTRACIÓ I GESTIÓ;UC1796_3;Assessorar i assistir tècnicament la clientela en la contractació d'assegurances i reassegurances;90,
ADGD0208;Gestió integrada de recursos humans;790,;3;ADMINISTRACIÓ I GESTIÓ;noUC_MP0078;Mòdul de pràctiques professionals no laborals de 'Gestió integrada de recursos humans';120,
IFCD0061;Cloudera. Introducció a Hadoop i Big Data;40,;2;INFORMÀTICA I COMUNICACIONS;;;0,
COML0111;Trànsit de persones viatgeres per carretera;450,;3;COMERÇ I MARQUETING;UC2061_3;Realitzar la gestió administrativa i documental d'operacions de transport de viatgers per carretera;90,
IEXM0409;Excavació subterrània amb explosius;650,;2;INDÚSTRIES EXTRACTIVES;UC0419_2;Realitzar el sosteniment amb quadres, cintres i ancoratges;240,
SANT0025;Atenció psicosocial a pacients amb enfermetats cròniques avançades;12,;3;SANITAT;;;0,
IMAR0409;Planificació, gestió i realització del manteniment i supervisió del muntatge d'instal·lacions de climatització i ventilació-extracció;540,;3;INSTAL·LACIÓ I MANTENIMENT;UC1170_3;Planificar el manteniment d'instal·lacions tèrmiques;70,
ADGD44;Planificació de projectes;50,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
MAPN0712;OPERACIONS PORTUÀRIES DE CÀRREGA, ESTIBA, DESCÀRREGA, DESESTIBA I TRANSBORD;850,;2;MARÍTIM PESQUER;UC1955_2;Manipular mercaderies amb mitjans mecànics en les operacions portuàries de càrrega, estiba, descàrrega, desestiba i transbordament;240,
TMVL0609;Planificació i control de l'àrea de carrosseria;660,;3;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_MP0263;Mòdul de pràctiques professionals no laborals;40,
IEXM0210;Excavació subterrània mecanitzada dirigida de petita secció;470,;2;INDÚSTRIES EXTRACTIVES;UC1384_2;Realitzar espais subterranis amb equips de perforació i mandrinatge: Raise Boring;90,
IEXD0109;Disseny i coordinació de projectes en pedra natural;730,;3;INDÚSTRIES EXTRACTIVES;UC0868_3;Programar i supervisar la col·locació d'elements de pedra natural;120,
COML01;Màrqueting digital & e-commerce per a l'automoció;130,;3;COMERÇ I MARQUETING;noUC_coml01;;12,
EOCB0108;Fàbriques de maçoneria;490,;2;EDIFICACIÓ I OBRA CIVIL;UC0142_1;Construir fàbriques per revestir;120,
AFDA0310;Activitats de natació;750,;3;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1085_3;Dirigir l'aprenentatge i el condicionamento físic bàsic en activitats de natació;150,
FCOI21;Resolució de problemes a l'entorn digital. Nivell bàsic;40,;1;FORMACIÓ COMPLEMENTARIA;noUC_fcoi21;;10,
MAPN0410;Operacions de transport marítim i pesca litoral;630,;2;MARÍTIM PESQUER;UC0540_2;Organitzar i controlar la seguretat, lluita contra incendis i les emergències a bord;70,
ENAE0508;Organització i projectes d'instal·lacions solars fotovoltaiques;630,;3;ENERGIA I AIGUA;UC0842_3;Determinar la viabilitat de projectes d'instal·lacions solars;120,
QUIE0108;Operacions bàsiques en planta química;610,;2;QUÍMICA;UC0045_2;Realitzar operacions de procés químic.;150,
ELEQ0311;Manteniment d'equips electrònics;680,;3;ELECTRICITAT I ELECTRÒNICA;noUC_MP0448;Mòdul de pràctiques professionals no laborals de 'Manteniment d'equips electrònics';80,
TCPC0112;Patronatge de calçat i marroquineria;750,;3;TÈXTIL, CONFECCIÓ I PELL;UC0474_3;Analitzar matèries primeres, productes i processos de confecció, calçat i marroquineria;150,
ELES0209;Muntatge i manteniment de sistemes de telefonia i infraestructures de xarxes locals de dades;420,;2;ELECTRICITAT I ELECTRÒNICA;noUC_MP0232;Mòdul de pràctiques professionals no laborals de 'Muntatge i manteniment de sistemes de telefonia i infraestructures de xarxes locals de dades';80,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;UC1488_3;Gestionar els aprofitaments forestals no fusters;180,
FMEM0309;Disseny d'eines de processat de xapa;680,;3;FABRICACIÓ MECÀNICA;UC0109_3;Automatizar els processos operatius dels estris de processament de xapa;210,
AGAR0211;Gestió dels aprofitaments cinegeticopiscícoles;740,;3;AGRÀRIA;UC0730_3;Gestionar la maquinària, equips i instal·lacions de l'explotació forestal;110,
IFCD48;Programació de xarxes neuronals - Machine learning;170,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd48;-;50,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;noUC_MP0363;Mòdul de pràctiques professionals no laborals de 'Gestió d'aprofitaments forestals';80,
ENAE0009;Preparació i justificació de subvencions per a la instal·lació d'energia renovable;30,;2;ENERGIA I AIGUA;;;0,
IFCM0110;Operació en sistemes de comunicacions de veu i dades;550,;2;INFORMÀTICA I COMUNICACIONS;UC0956_2;Realitzar els processos de connexió entre xarxes privades i xarxes públiques;150,
ELES02;Instal·lació i Integració de Sistemes IOT en Edificis Intel·ligents;125,;3;ELECTRICITAT I ELECTRÒNICA;;;0,
SANT0046;Eines per a la millora de la seguretat de pacients;10,;3;SANITAT;;;0,
IFCT0410;Administració i disseny de xarxes departamentals;610,;3;INFORMÀTICA I COMUNICACIONS;UC0229_3;Coordinar la implantación de la infraestructura de xarxa telemàtica;120,
ELEE0610;Gestió i supervisió del muntatge i manteniment de xarxes elèctriques de baixa tensió i enllumenat exterior;620,;3;ELECTRICITAT I ELECTRÒNICA;UC1275_3;Planificar i gestionar el muntatge i manteniment de xarxes elèctriques de baixa tensió i enllumenat exterior;180,
ADGN0110;Gestió comercial i tècnica d'assegurances i reassegurances privades;730,;3;ADMINISTRACIÓ I GESTIÓ;UC2181_2;Tramitar els expedients de sinistres;50,
IEXD0308;Operacions auxiliars en plantes d'elaboració pedra natural i tractament i benefici mineral i roca;340,;1;INDÚSTRIES EXTRACTIVES;UC0859_1;"??Manipular blocs, bitlles i ""rachones"" de pedra natural";70,
TCPP0712;Teixidura de punt per trama o recollida;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0895_2;Preparar màquines tricotoses i màquines de teixir Cotton per produir teixits i peces;220,
HOTR0208;Operacions bàsiques de restaurant i bar;290,;1;HOSTALERIA I TURISME;UC0258_1;Executar operacions bàsiques d'aprovisionament, i preparar i presentar begudes senzilles i menjars ràpids.;120,
IEXM0310;Excavació subterrània mecanitzada a secció completa amb tuneladores;590,;3;INDÚSTRIES EXTRACTIVES;UC1395_3;Realitzar l'excavació amb tuneladores de roques;210,
IEXD0109;Disseny i coordinació de projectes en pedra natural;730,;3;INDÚSTRIES EXTRACTIVES;UC0865_3;Dissenyar elements i conjunts en pedra natural;140,
ARGG0110;Disseny de productes gràfics;600,;3;ARTS GRÀFIQUES;noUC_MP0312;Mòdul de pràctiques professionals no laborals de 'Disseny de productes gràfics';40,
COMM0012;Màrqueting per a empreses d'economia social;40,;2;COMERÇ I MARQUETING;;;0,
IFCD0029;Programació Java bàsic;120,;3;INFORMÀTICA I COMUNICACIONS;;;0,
HOTR0309;Direcció en restauració;830,;3;HOSTALERIA I TURISME;UC1099_3;Realitzar la gestió economicofinancera d'un establiment de restauració;150,
IFCT63;Científic de dades Cloudera;150,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct63;;30,
AGAO0208;Instal·lació i manteniment de jardins i zones verdes;470,;2;AGRÀRIA;UC0531_2;Instal·lar jardins d'interior, exterior i zones verdes.;150,
TMVG05;Comprovació i diagnosi del vehicle elèctric;40,;2;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg05;-;10,
TMVU0112;Manteniment de la planta propulsora, màquines i equips auxiliars d'embarcacions esportives i d'esbarjo;840,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC0132_2;Mantenir el motor tèrmic;260,
IFCT0110;Operació de xarxes departamentals;530,;2;INFORMÀTICA I COMUNICACIONS;UC0955_2;Monitoritzar els processos de comunicacions de la xarxa local;180,
FMEF0208;Emmotllament i fabricació de mascles;400,;2;FABRICACIÓ MECÀNICA;UC0588_2;El·laborar motlles i mascles per al procés de foneria;230,
ARGG0007;Tova illustrator I;50,;1;ARTS GRÀFIQUES;;;0,
ARTN0210;Decoració artesanal de vidre mitjançant les aplicacions de color;580,;2;ARTS I ARTESANIA;UC1692_2;Realitzar decoracions artesanals sobre vidre mitjançant aplicacions de color amb tractament tèrmic posterior;190,
ELEM0211;Gestió i supervisió del muntatge i manteniment de sistemes domòtics i immòtics;550,;3;ELECTRICITAT I ELECTRÒNICA;UC1820_3;Gestionar i supervisar els processos de muntatge de sistemes domòtics i immòtics;160,
COMV0108;Activitats de venda;590,;2;COMERÇ I MARQUETING;UC0241_2;Executar les accions del servei d'atenció al client/consumidor/usuari;120,
ELEE0109;Muntatge i manteniment d'instal·lacions elèctriques de baixa tensió;920,;2;ELECTRICITAT I ELECTRÒNICA;UC0823_2;Muntar i mantenir xarxes elèctriques aèries de baixa tensió;120,
SEAG01;Petjada de Carboni de producte i Organització;100,;3;SEGURETAT I MEDI AMBIENT;noUC_seag01;;10,
ARTB0111;Elaboració d'articles d'argenteria;620,;2;ARTS I ARTESANIA;UC2042_2;Organitzar processos i elaborar elements i peces de plateria;180,
SEAD0150;C.23. Treballs|Feines d'altres instal·lacions tals com instal·lacions solars fotovoltaiques o instal·lacions eòliques. Part específica;8,;1;SEGURETAT I MEDI AMBIENT;;;0,
IEXM0609;Operacions auxiliars en el muntatge i manteniment mecànic d'instal·lacions i equips d'excavacions i plantes;450,;1;INDÚSTRIES EXTRACTIVES;noUC_MP0237;Mòdul de pràctiques professionals no laborals d''Operacions auxiliars en el muntatge i manteniment mecànic d'instal·lacions i equips d'excavacions i plantes';80,
TCPP0712;Teixidura de punt per trama o recollida;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0894_2;Preparar fils i matèries primeres per a art de teixir de punt;100,
QUIE01;Comissionat i posada en marxa de plantes químiques.;25,;3;QUÍMICA;;;0,
ARTU01;Ball Flamenc;900,;2;ARTS I ARTESANIA;;;0,
ENAS0208;Gestió del muntatge i manteniment de xarxes de gas;520,;3;ENERGIA I AIGUA;UC1202_3;Col·laborar en la planificació de l'execució de xarxes de gas;140,
SANT0054;Experiència del pacient;10,;2;SANITAT;;;0,
IFCT0610;Administració i programació en sistemes de planificació de recursos empresarials i de gestió de relacions amb clients;650,;3;INFORMÀTICA I COMUNICACIONS;UC1214_3;Administrar sistemes de planificació de recursos empresarials i de gestió de relacions amb clients;210,
EOCB0023;PRL per a treballs de paleta;20,;1;EDIFICACIÓ I OBRA CIVIL;;;0,
ELES0110;Desenvolupament de projectes d'infraestructures de telecomunicació de xarxes de veu i dades en l'entorn d'edificis;500,;3;ELECTRICITAT I ELECTRÒNICA;UC0827_3;Desenvolupar projectes d'instal·lacions de telefonia a l'entorn d'edificis;120,
ARGA0112;Gravat i tècniques d'estampació;800,;3;ARTS GRÀFIQUES;UC2224_3;Definir projectes de gravat i tècniques d'estampació;150,
ELES0014;Instal·lació d'equips de vídeo;60,;1;ELECTRICITAT I ELECTRÒNICA;;;0,
IFCD0085;Desenvolupament Mobile i web amb C# i .NET (ASP i MAUI);270,;3;INFORMÀTICA I COMUNICACIONS;;;0,
TMVU0312;Organització i supervisió del manteniment dels sistemes i equips d'embarcacions esportives i d'esbarjo;530,;3;TRANSPORT I MANTENIMENT DE VEHICLES;UC1993_3;Gestionar el manteniment d'embarcacions esportives i d'esbarjo;100,
AGAN0210;Ferrat d'equins;710,;3;AGRÀRIA;noUC_MP0324;Mòdul de pràctiques professionals no laborals de 'Ferrat d'equins';40,
IFCT0610;Administració i programació en sistemes de planificació de recursos empresarials i de gestió de relacions amb clients;650,;3;INFORMÀTICA I COMUNICACIONS;UC1215_3;Realitzar i mantenir components de programari en un sistema de planificació de recursos empresarials i de gestió de relacions amb clients;210,
QUIE0005;Manipulació de productes químics;15,;1;QUÍMICA;;;0,
TCPF0412;Assistència tècnica en la logística dels processos d'externalització de la producció tèxtil, pell i confecció;780,;3;TÈXTIL, CONFECCIÓ I PELL;UC0474_3;Analitzar matèries primeres, productes i processos de confecció, calçat i marroquineria;150,
COML0014;Logística comercial i gestió del transport;230,;3;COMERÇ I MARQUETING;;;0,
HOTR52;Assistència polivalent en barra i sala;95,;1;HOSTALERIA I TURISME;;;0,
TMVO0111;Tripulació de cabina de passatgers;550,;3;TRANSPORT I MANTENIMENT DE VEHICLES;UC2002_3;Aplicar els procediments de supervivència en cas d'incident en transport aeri;60,
TCPC03;DISSENY I FABRICACIÓ DE MARROQUINERIA;600,;1;TÈXTIL, CONFECCIÓ I PELL;noUC_tcpc03;;20,
ARGC0209;Operacions en trens de cosit;480,;2;ARTS GRÀFIQUES;UC0200_2;Operar en el procés gràfic en condicions de seguretat, qualitat i productivitat;100,
ADGD0049;Principis bàsics de l'Economia Social;10,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
IFCD0156;Desenvolupament de solucions generadores d'IA amb el servei Azure OpenAI-AI-050;20,;3;INFORMÀTICA I COMUNICACIONS;;;0,
HOTA0308;Recepció en allotjaments;630,;3;HOSTALERIA I TURISME;UC0265_3;Gestionar departaments de l'àrea d'allotjament;120,
ADGD0208;Gestió integrada de recursos humans;790,;3;ADMINISTRACIÓ I GESTIÓ;UC0233_2;Manejar aplicacions ofimàtiques en la gestió de la informació i la documentació;190,
SEAD0312;Teleoperacions d'atenció, gestió i coordinació en emergències;730,;3;SEGURETAT I MEDI AMBIENT;UC2169_3;Aplicar protocols i plans operatius corresponents a cada tipus de demanda;110,
MAMD0210;Planificació i gestió de la fabricació en indústries de fusta i suro;570,;3;FUSTA, MOBLE I SURO;UC1366_3;Controlar els processos de fabricació en les indústries de la fusta serrada;100,
ARGC0209;Operacions en trens de cosit;480,;2;ARTS GRÀFIQUES;UC0200_2;Operar en el procés gràfic en condicions de seguretat, qualitat i productivitat;100,
AGAR0109;Gestió de repoblacions forestals i tractaments silvícoles;610,;3;AGRÀRIA;UC0730_3;Gestionar la maquinària, equips i instal·lacions de l'explotació forestal;110,
SEAD01;Ergonomia per al departament de pisos;8,;1;SEGURETAT I MEDI AMBIENT;;;0,
HOTJ05;Joc responsable;20,;3;HOSTALERIA I TURISME;;;0,
TCPF0412;Assistència tècnica en la logística dels processos d'externalització de la producció tèxtil, pell i confecció;780,;3;TÈXTIL, CONFECCIÓ I PELL;UC0474_3;Analitzar matèries primeres, productes i processos de confecció, calçat i marroquineria;150,
FCOI17;Creació de continguts digitals i programació. Nivell avançat;40,;3;FORMACIÓ COMPLEMENTARIA;noUC_fcoi17;;14,
IFCD103;Fonaments de desenvolupament d'aplicacions Low Code i No Code setembre;300,;4;INFORMÀTICA I COMUNICACIONS;noUC_ifcd103;;40,
EOCB0209;Operacions auxiliars d'acabats rígids i urbanització;340,;1;EDIFICACIÓ I OBRA CIVIL;noUC_MP0219;Mòdul de pràctiques professionals no laborals d''Operacions auxiliars d'acabats rígids i urbanització';40,
TMVG0110;Planificació i control de l'àrea d'electromecànica;660,;3;TRANSPORT I MANTENIMENT DE VEHICLES;UC0138_3;Planificar els processos de reparació dels sistemes elèctrics, electrònics, de seguretat i comfortabilitat, controlant-ne l'execució;150,
ARTR0001;REPARACIóN Y RESTITUCIóN DE COBERTES TRADICIONALS DE RODANXONS;210,;1;ARTS I ARTESANIA;noUC_artr0001;-;60,
ELEM0411;Manteniment d'electrodomèstics;500,;2;ELECTRICITAT I ELECTRÒNICA;UC1975_2;Mantenir electrodomèstics de gama blanca;190,
ENAA0112;Gestió de l'ús eficient de l'aigua;760,;3;ENERGIA I AIGUA;UC2206_3;Desenvolupar projectes d'instal·lacions d'aigua a petita escala;180,
SEAD0172;C.30 Operaris de magatzem, logística i aprovisionament en els processos de fabricació. Formació de reciclatge;4,;1;SEGURETAT I MEDI AMBIENT;;;0,
IFCM0111;Manteniment de segon nivell en sistemes de radiocomunicacions;680,;3;INFORMÀTICA I COMUNICACIONS;UC1222_3;Coordinar la posada en servei de sistemes de radiocomunicacions de xarxes fixes i mòbils;180,
HOTR0060;La cuina al buit com a eina de gestió;35,;1;HOSTALERIA I TURISME;;;0,
COMM0005;Estratègies de serveis: qualitat i orientació al client;100,;1;COMERÇ I MARQUETING;;;0,
IMSV25;Workflows per a  cine i televisió;70,;3;IMATGE I SO;noUC_imsv25;-;10,
MAMD0110;Organització i gestió de la producció en indústries del moble i de fusteria;540,;3;FUSTA, MOBLE I SURO;UC1361_3;Planificar i gestionar el magatzem i els aprovisionaments en la indústria de fabricació de mobiliari;70,
ELEM0111;Muntatge i manteniment de sistemes domòtics i inmòtics;480,;2;ELECTRICITAT I ELECTRÒNICA;noUC_MP0414;Mòdul de pràctiques professionals no laborals de 'Muntatge i manteniment de sistemes domòtics i inmòtics';120,
SSCG0211;Mediació entre la persona sordcega i la comunitat;830,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1440_3;Realitzar intervencions adreçades a paliar situacions d'aïllament en les persones sordcegues;90,
ARTB0003;TÈCNIQUES D'ACABATS MECÀNICS I QUÍMICS DE PECES DE JOIERIA I PLATERIA;120,;2;ARTS I ARTESANIA;noUC_artb0003;-;50,
MAPU0110;Producció de viver en aqüicultura;610,;2;MARÍTIM PESQUER;UC0286_2;Cultivar larves;200,
EOCB0110;Pintura decorativa en construcció;640,;2;EDIFICACIÓ I OBRA CIVIL;UC1933_2;Realitzar revestiments murals en paper, fibra de vidre i vinílics.;40,
IMPP0308;Hidrotermal;570,;3;IMATGE PERSONAL;noUC_MP0023;Mòdul de pràctiques professionals no laborals.;120,
MAMA0210;Fabricació de taulers de partícules i fibres de fusta;350,;2;FUSTA, MOBLE I SURO;UC0681_2;Preparar les partícules i les fibres de fusta;80,
IEXD0409;Col·locació de pedra natural;640,;2;INDÚSTRIES EXTRACTIVES;UC1376_2;Col·locar elements singulars de pedra natural;120,
IFCT83;SAP - Mòdul SD, vendes i distribució - nivell usuari;40,;2;INFORMÀTICA I COMUNICACIONS;noUC_ifct83;-;5,
CTRL0047;Català elemental 3;45,;2;COMPETÈNCIES TRANSVERSALS;;;0,
HOTR0209;Sommelieria;730,;3;HOSTALERIA I TURISME;UC1106_3;Catar vins i altres begudes analcohòliques i alcohòliques diferents dels vins;270,
ADGD01;Tècniques de qualitat i millora contínua en l'excel·lència empresarial;425,;3;ADMINISTRACIÓ I GESTIÓ;noUC_adgd01;;35,
ARTU0212;Assistència a la direcció tècnica d'espectacles en viu i esdeveniments;530,;3;ARTS I ARTESANIA;UC2250_3;Gestionar l'emmagatzemament, manteniment i les condicions de seguretat dels equips i instal·lacions tècniques de l'espectacle en viu o esdeveniment en condicions canviants d'explotació;150,
AFDP0209;Socorrisme en espais aquàtics naturals;420,;2;ACTIVITATS FÍSIQUES I ESPORTIVES;noUC_MP0187;Mòdul de pràctiques professionals no laborals de 'Socorrisme en espais aquàtics naturals';80,
SSCE22;Tutorització en teleformació;50,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;noUC_ssce22;-;10,
IFCT54;Oracle Big Data Cloud enginyer;175,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct54;;10,
IEXM06;Maneig i manteniment del dumper / bolquet en obra civil i mineria;460,;1;INDÚSTRIES EXTRACTIVES;noUC_iexm06;;100,
IEXM0809;Excavació a cel obert amb explosius;610,;2;INDÚSTRIES EXTRACTIVES;UC1379_2;Realitzar l'estabilització de talussos en excavacions a cel obert;60,
ADGD0308;Activitats de gestió administrativa;880,;2;ADMINISTRACIÓ I GESTIÓ;UC0981_2;Realitzar registres comptables;120,
AFDA0109;Guia per itineraris amb bicicleta;420,;2;ACTIVITATS FÍSIQUES I ESPORTIVES;noUC_MP0071;Mòdul de pràctiques professionals no laborals de 'Guia per itineraris amb bicicleta';80,
AGAN0210;Ferrat d'equins;710,;3;AGRÀRIA;UC1137_2;Realitzar la conformació de l'aplom del casc, forja, adaptació i col·locació de ferradures i altres materials de ferrament en equins;360,
FMEC0209;Disseny de canonada industrial;480,;3;FABRICACIÓ MECÀNICA;UC1149_3;Dissenyar esquemes de canonades industrials;140,
HOTR0067;Gestió del bar-cafeteria;60,;1;HOSTALERIA I TURISME;noUC_hotr0067;-;30,
HOTJ0110;Activitats per al joc en taules de casinos;700,;2;HOSTALERIA I TURISME;UC1773_2;Conduir els jocs de la ruleta americana i la ruleta francesa;200,
AGAH0108;Horticultura i floricultura;600,;2;AGRÀRIA;UC0525_2;Controlar les plagues, malalties, males herbes i fisiopaties.;120,
INAI0109;Indústries càrnies;600,;3;INDÚSTRIA ALIMENTÀRIA;UC0767_3;Aplicar tècniques de control analític i sensorial del procés d'elaboració de productes i preparats carnis;60,
INAH0110;Indústries derivades del raïm i del vi;530,;3;INDÚSTRIA ALIMENTÀRIA;noUC_MP0309;Mòdul de pràctiques professionals no laborals d''Indústries derivades del raïm i del vi';80,
INAH0209;Enotècnia;660,;3;INDÚSTRIA ALIMENTÀRIA;UC0037_3;Supervisar la producció vitícola i programar els processos de vinificació;180,
TMVG03;Manteniment bàsic de vehicles híbrids i elèctrics;40,;2;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg03;-;4,
IFCD0011;Desenvolupament i visualització de dades amb Phython;150,;3;INFORMÀTICA I COMUNICACIONS;;;0,
SSCE0111;Promoció i intervenció socioeducativa amb persones amb discapacitat;450,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1448_3;Detectar, generar i utilitzar recursos socials i comunitaris per a la realització d'intervencions socioeducatives amb persones amb discapacitat;60,
MAMA0210;Fabricació de taulers de partícules i fibres de fusta;350,;2;FUSTA, MOBLE I SURO;UC0683_1;Acabar i recobrir taulers de partícules i fibres;40,
TCPP0212;Teixidura de punt per ordit;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0898_2;Preparar i producir teixits en màquines Kette i circulars d'ordit;170,
FMEM0311;Fabricació d'encunys per a la producció de peces de xapa metàl·lica;630,;3;FABRICACIÓ MECÀNICA;UC2158_3;Ajustar, muntar i verificar la funcionalitat i els components d'encunys;120,
EOCB0210;Revestiments amb pastes i morters en construcció;670,;2;EDIFICACIÓ I OBRA CIVIL;UC1941_2;Organitzar treballs de revestiments continus conglomerats i rígids modulars en construcció;60,
TMVI0016;Conducció eficient;40,;1;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvi0016;-;20,
HOTR37;Atenció al client a la restauració;15,;1;HOSTALERIA I TURISME;;;0,
HOTR0110;Direcció i producció en cuina;1.110,;3;HOSTALERIA I TURISME;UC1059_3;Desenvolupar i supervisar processos de preparació i presentació d'elaboracions culinàries bàsiques, complexes i de múltiples aplicacions;230,
AGAN0208;Cria de cavalls;670,;3;AGRÀRIA;UC0533_3;Controlar i organitzar les activitats amb sementals, eugues reproductores i poltres lactants;180,
TMVL0609;Planificació i control de l'àrea de carrosseria;660,;3;TRANSPORT I MANTENIMENT DE VEHICLES;UC0137_3;Gestionar el manteniment de vehicles i la logística associada, d'acord a criteris d'eficàcia, seguretat i qualitat;130,
IFCT0109;Seguretat dels sistemes d'informació;500,;3;INFORMÀTICA I COMUNICACIONS;UC0488_3;Detectar i respondre davant incidents de seguretat;90,
FMEE0208;Muntatge i posada en marxa de béns d'equip i maquinària industrial;690,;2;FABRICACIÓ MECÀNICA;UC1265_2;Realitzar operacions de mecanització i unió en processos de muntatge de béns d'equip i maquinària industrial;150,
TMVG0209;Manteniment dels sistemes elèctrics i electrònics de vehicles;520,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC0627_2;Mantenir els circuits elèctrics auxiliars de vehicles;150,
COML03;Logística integral;230,;3;COMERÇ I MARQUETING;noUC_coml03;-;25,
IEXM0509;Operacions en instal·lacions de transport subterrànies en indústries extractives;510,;2;INDÚSTRIES EXTRACTIVES;UC0862_2;Realitzar el transport amb mitjans continus;110,
IFCD53;Desenvolupament a Java amb Framework Spring;350,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd53;-;80,
COMM0111;Assistència a la investigació de mercats;510,;3;COMERÇ I MARQUETING;UC0997_3;Col·laborar en l'anàlisi i obtenció de conclusions a partir de la investigació de mercats;120,
IFCD67;Cloud Deployer;300,;4;INFORMÀTICA I COMUNICACIONS;noUC_ifcd67;-;100,
SSCG0112;Promoció i participació de la comunitat sorda;660,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1437_3;Utilitzar la llengua de signes espanyola per a l'exercici de les seves funcions;320,
IFCD25;Desenvolupador spark big data cloudera;200,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd25;;50,
IMPQ0108;Serveis auxiliars de perruqueria;330,;1;IMATGE PERSONAL;UC0058_1;Preparar els equips i rentar i condicionar el cabell i cuir cabellut;40,
AGAU0208;Gestió de la producció agrícola;820,;3;AGRÀRIA;UC1131_3;Gestionar les operacions de collita i conservació de productes agrícoles;180,
INAQ0108;Operacions auxiliars de manteniment i transport intern en la indústria alimentària;240,;1;INDÚSTRIA ALIMENTÀRIA;UC0547_1;Ajudar en el manteniment operatiu de màquines i instal·lacions de la indústria alimentària, seguint els procediments establerts;70,
SANP0009;Metabolisme i equilibri nutricional;30,;2;SANITAT;;;0,
HOTR0005;Cuina de caça, bolets i tòfones;40,;1;HOSTALERIA I TURISME;noUC_hotr0005;-;20,
FMEH0109;Mecanització per arrencament de ferritja;620,;2;FABRICACIÓ MECÀNICA;UC0089_2;Determinar els processos de mecanització per arrencament de ferritja;100,
ADGD0088;Operacions bàsiques de l'administració de finques;84,;3;ADMINISTRACIÓ I GESTIÓ;;;0,
IFCT0310;Administració de bases de dades;650,;3;INFORMÀTICA I COMUNICACIONS;UC0225_3;Configurar i gestionar la base de dades;200,
ADGG0408;Operacions auxiliars de serveis administratius i generals;430,;1;ADMINISTRACIÓ I GESTIÓ;noUC_MP0112;Mòdul de pràctiques professionals no laborals d''Operacions auxiliars de serveis administratius i generals';40,
SSCE0020;Plataformes per a l'aprenentatge;16,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
SSCG08;Millora de l'acció social a través de la transformació digital;220,;4;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;noUC_sscg08;;50,
IMAI0014;Operador/a en aïllament i calorifugat;402,;1;INSTAL·LACIÓ I MANTENIMENT;;;0,
FMEH0309;Tractaments superficials;530,;2;FABRICACIÓ MECÀNICA;UC0102_2;Realitzar tractaments superficials;190,
IFCT60;Consultor SAP S4HANA Comptabilitat Financera;220,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct60;;80,
HOTG0108;Creació i gestió de viatges combinats i esdeveniments;670,;3;HOSTALERIA I TURISME;UC1056_3;Gestionar esdeveniments;150,
QUIE0002;Matèries primeres en la indústria química i afins;30,;1;QUÍMICA;;;0,
AFDA0411;Animació físic-esportiva i recreativa per a persones amb discapacitat;740,;3;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1660_3;Concretar, dirigir i dinamitzar activitats, jocs i esports amb i sense adaptacions i col·laborar en competicions recreatives i esdeveniments físic-esportius i recreatius per a usuaris amb discapacitat intel·lectual;150,
IFCD86;Traducció d'Estructures WordPress;40,;3;INFORMÀTICA I COMUNICACIONS;noUC_IFCD86;;10,
